feature,mean_value,std_value,min_value,max_value,skewness,kurtosis
feature_0,0.189796,0.07612954,0.12241466,0.2962057,0.6342927,-1.5000552
feature_1,0.1897306,0.07565236,0.12241466,0.2991889,0.6367112,-1.4981563
feature_10,0.29411256,0.17871791,0.12017279,0.9588724,1.3151374,1.5726161
feature_100,0.2468044,0.12482534,0.0,0.5044696,0.066683695,-1.3565016
feature_101,0.24597114,0.124750175,0.0,0.50317097,0.07567635,-1.3535252
feature_102,0.24580888,0.12515028,0.0,0.5032763,0.0791853,-1.3548006
feature_103,0.24553941,0.12467678,0.0,0.5032061,0.08048665,-1.3512307
feature_104,0.24584594,0.125684,0.0,0.5020479,0.08391808,-1.3576463
feature_105,0.24484906,0.12481863,0.0,0.50271475,0.07915171,-1.3546164
feature_106,0.24572887,0.12538671,0.0,0.5030306,0.07857239,-1.3624947
feature_107,0.24536006,0.12538506,0.0,0.5022905,0.07311222,-1.3629713
feature_108,0.24622591,0.1257081,0.0,0.5014347,0.06975658,-1.3682513
feature_109,0.24658304,0.12575334,0.0,0.55021393,0.06679841,-1.3668395
feature_11,0.30289927,0.18695278,0.11976269,0.9872137,1.2675351,1.3314991
feature_110,0.24692057,0.126101,0.0,0.55021393,0.06945751,-1.3677919
feature_111,0.246867,0.12614581,0.0,0.5438208,0.06929577,-1.3649087
feature_112,0.24725384,0.12675318,0.0,0.58248174,0.06937931,-1.3684372
feature_113,0.24768905,0.12727354,0.0,0.56123835,0.07531492,-1.3639444
feature_114,0.24761704,0.12684345,0.0,0.55514723,0.07566349,-1.3594394
feature_115,0.24795392,0.12754244,0.0,0.59194565,0.076910496,-1.3638346
feature_116,0.24846439,0.12826627,0.0,0.61193055,0.07764586,-1.3611668
feature_117,0.24873273,0.12862472,0.0,0.60765165,0.07682148,-1.3636657
feature_118,0.24914552,0.1289966,0.0,0.5883715,0.07441932,-1.3653961
feature_119,0.24991345,0.13013624,0.0,0.5937075,0.077574715,-1.3633308
feature_12,0.30944327,0.19272809,0.1097672,1.0,1.1887053,1.0548692
feature_120,0.25041944,0.13122249,0.0,0.61434686,0.080598615,-1.361247
feature_121,0.25069782,0.13237932,0.0,0.5920966,0.08399474,-1.3591226
feature_122,0.25127825,0.13320264,0.0,0.59713066,0.087603636,-1.3504905
feature_123,0.25238666,0.13421315,0.0,0.633627,0.09117357,-1.3329244
feature_124,0.25269508,0.13534549,0.0,0.65285677,0.09120454,-1.3321098
feature_125,0.25241396,0.13626307,0.0,0.62295496,0.095158376,-1.3249713
feature_126,0.2528972,0.13708672,0.0,0.6334851,0.10103192,-1.3182048
feature_127,0.25277475,0.13778715,0.0,0.66030705,0.113344066,-1.2993307
feature_128,0.25220323,0.1387338,0.0,0.70203876,0.12285343,-1.2916491
feature_129,0.251567,0.1392904,0.0,0.6683361,0.13454726,-1.2771121
feature_13,0.3134958,0.19543347,0.10780966,1.0,1.113919,0.81927514
feature_130,0.25131392,0.14000945,0.0,0.67939156,0.14368165,-1.2664945
feature_131,0.25060388,0.1408823,0.0,0.69125426,0.15057786,-1.2572429
feature_132,0.2499136,0.1416263,0.0,0.7023799,0.15895756,-1.2438664
feature_133,0.24978024,0.14260416,0.0,0.7142075,0.168489,-1.2335608
feature_134,0.2492002,0.14337,0.0,0.7257192,0.17848676,-1.218635
feature_135,0.24838021,0.14386012,0.0,0.73744154,0.18317549,-1.2052929
feature_136,0.24822785,0.1448438,0.0,0.74881285,0.19279636,-1.1901671
feature_137,0.24748494,0.14552635,0.0,0.7607808,0.20380211,-1.1681068
feature_138,0.24662066,0.1459697,0.0,0.7736613,0.21237078,-1.1490662
feature_139,0.24580511,0.14610383,0.0,0.78096145,0.2248581,-1.1161718
feature_14,0.31686267,0.19532454,0.10780966,1.0,1.0259607,0.593997
feature_140,0.24504575,0.14631511,0.0,0.77138007,0.23405138,-1.0895803
feature_141,0.24386272,0.14661218,0.0,0.7856293,0.24958658,-1.0568027
feature_142,0.24284187,0.14677173,0.0,0.79987854,0.26052758,-1.0258132
feature_143,0.24189551,0.14698938,0.0,0.81251335,0.2770998,-0.98790383
feature_144,0.24116156,0.14724153,0.0,0.82672757,0.28728923,-0.9556117
feature_145,0.24029626,0.14711042,0.0,0.839959,0.29819462,-0.9196768
feature_146,0.24000205,0.14728294,0.0,0.8526991,0.3009348,-0.90347004
